,Ticker,Shares,Currency
1,AAPL,289.4209971722814,USD
2,CMCSA,1291.247177589742,USD
3,SQ,921.7318655434065,USD
4,SHOP,781.5395647285025,USD
5,BK,1161.1680878124034,USD
6,ORCL,472.9574811708852,USD
7,GOOG,397.7811221280766,USD
8,CSCO,1136.9170076963676,USD
9,SPG,454.9926253918253,USD
10,OTEX.TO,1407.129476051681,CAD
